,Recall Values
0,77 74 72 73 69 77 89
1,89.9 78.2 88.6 89.9 89.4 83.8 98.4 95.8 95.2 89.4 88.0 70.8 77.8 60.9 71.0 67.6 62.5 51.3 99.0 97.2 97.1 94.2 94.8 75.5 76.4 63.8 72.9 71.1 70.0 65.8 98.0 96.0 95.4 91.9 91.8 68.4
2,83.72 87.44 88.89
3,93.4 92.7 93.4 99.9 99.8 99.9 55.2 61.8 69.8
4,80.85 62.75 54.60 43.32 86.53 54.95 75.03 58.39 50.99 89.48 57.82 67.25 54.62 72.23 69.48 63.37 69.17 80.85 65.97 73.74 64.64 69.38 86.53 56.41 77.81 54.95 78.34 79.46 56.56 69.18 53.47 67.20 89.48 68.44 76.76 68.71 73.38
6,98.1 97.0 86.1 88.7 81.8
7,19.2 52.5 48.5 27.3 32.5 23.8 87.7 83.4 89.3 86.4 90.2 87.1 86.6 90.2 89.5 89.3 77.7 72.9 93.4 93.9 92.1 90.7 91.2 91.9 91.9 97.7 92.1 90.5 94.8 93.7 40.5 58.9 8.7 82.0 58.4 73.8 91.9
9,61.2 50.0 49.9 50.6 57.2 58.4 59.3 60.6 15.4 80.2 32.8 51.0 65.7 54.9 60.9 65.2 62.7 65.2 24.5 57.2 47.0 54.6 56.7 61.2 61.2 58.2 57.3
10,88 88 82 69 100 100 100 100 100 100 90 89 75 63 30 13 98 88 88 76 99 97 97 97 100 100 94 93 64 80 73 42 93 93 94 96 88 75 69 69 90 98 97 97
11,84.3 73.9 71.8
12,86 75 34 36 72
13,72.4 72.8 78.7 75.8 74.1 74 64.8 66.7 81.4 71.0 83.2 64.7 77.2 44.7 79.8 83.6 90.9 84.5 88.1 83.6 90.9 84.5 88.1 80.8 85.3 68.9 78.8 29.0 89.0 74.5 88.8
14,66.48 70.47 76.60 81.43
15,61.4 63.4 65.5 52.4 55.4 66.5 62.5 64.6 86.5
17,11.3 55.5 45.4 57.8 57.7 45.7 53.4 55.5 60.7 59.4 66.5 73.0
18,61.79 75.94 84.45 81.00 84.50 86.99 89.49 89.29 88.36 98.18 81.85 90.18 82.60 84.13 92.81 79.59 84.50 93.17 98.18 85.31 92.81 81.02 82.39 82.30 84.50  89.92 90.93 95.40 98.18 87.26 89.84 88.22 92.81
20,64.85 76.33 87.97 88.10 90.66 91.76
21,27.1 37.1 84.6 46.4 47.2 89.4 46.4 47.2 89.9 60.0 40.4 84.6 71.7 57.2 89.4 69.7 60.9 89.9
22,80.6 79.9 88.6 83.8 82.2 84.8 83.9 80.6 85.0 99.5 91.2 90.5 87.7 88.4 84.7 85.0
23,99.97 98.75 57.01 62.73 65.68 80.02 67.82 24.17 75.76 89.29 99.75 97.36 94.17 97.16 99.46
24,78.0 80.8 87.2 85.4 82.2 84.4 83.9
25,78.6 79.8 63.9 74.7 84.3 85.8 78.6 81.6 63.9 82.5
26,80.89 90.23 90.72 86.75 91.43 79.32 86.67 84.12 86.37 90.92 79.42 85.01 85.32 74.71 90.33 84.77 81.91 76.3 74.52 83.24 80.74 81.74 85.86 80.16 90.27 85.45 84.96 88.46 79.46 87.49 89.63 91.87 89.31 90.39 94.59 22.86 55.56 85.32 48.74 83.91 17.36 25.27 34.77 10.25 68.15 64.35 80.80 67.58 83.24 72.25 77.83 72.55 86.27 84.31 87.05 84.83 87.49 89.35 89.56 89.62 94.59
27,62.5 81.5 60.3 85 27.5 36.5 80.5 60.7 72.1 54 68.5 78.5 71 89.9 20 49.1 86.8 83 19.5 73 59.4 58 79 98.1
29,93.6 96.1 97.4
30,72 78
32,75 79 100 84 82 67 61 100 79 100 61 69 91 75 67 100
33,36.90 46.58 56.70 32.08 76.41 87.82 89.08 85.22 82.90
34,98.8
35,98.2 97.9 92.6 93.5 86.9 91.3 94.6 94.4 91.4 97.7 97.2 99.1 98.9 93.5 92.1 81.3 90.7 96.9 94.2 93.7 97.2 97.8 99.3 98.7 93.9 94.3 87.8 94.3 91.0 89.4 98.0 98.1
39,41.8 58.2 62.9 54.3 57.1 63.8 67.7 62.9 57.1 64.4 66.5 62.7 82.8 85.8 88.4 85.6 76 96 98.3 90.1 84.8 91.7 90 89 31.7 32 31.6 31.8 30.9 38.1 42.7 37.2 24.6 23.2 29.0 25.6 91.8 84.0 81.4 85.7 75.4 94.2 97.2 88.9 79.4 78.1 78.4 78.6
42,75 95
43,47.4 60 65.1 87.8 93.3
44,58.53 89.00 52.19 93.96 59.61 91.66 53.75 89.50 81.60 82.61 77.64 85.34 92.23 92.93 91.92 93.86 86.53 89.09 85.56 89.38 70.99 87.40 77.36 84.38 84.06 81.01 92.25 92.77 82.27 90.51 81.92 86.20 67.04 77.13 81.34 87.62 81.62 92.07 92.98 86.79 92.89 93.42 89.05 81.64 89.98 82.29 90.21 91.45 53.66 64.86 72.45 52.77 2.12 1.68 0.76 43.16 50.23 70.87 45.68 59.68 66.54 59.63 61.21 70.11
45,91.00 60.00 66.00 98.00 92.00
48,93.52 91.65 92.47 99.68 99.90 95.21 97.06 97.32 96.57 97.7 90.5 86.63 94.58 91.85 96.4 95.21 97.06 97.32 96.57 97.7
49,50.5 87.9 84.7
50,42.72 75.22 61.30 77.04 87.14 93.85
51,95.4 95.9 99.7 99.9 98.6 99.9 54.9 61.8 69.8
53,100 97.5 93.4 93.2 96.5 95 98 100 100 95.2 100 94.1
