prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,1,0,0.0,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,4930,5070,0,0,0.493,0.493,1.0
0.5,0,1,0,0.1,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,4474,5526,4474,5526,4474,5526,0,0,4474,5526,4474,5526,4474,5526,0,0,0.4474,0.4474,1.0
0.5,0,1,0,0.2,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,3919,6081,3919,6081,3919,6081,0,0,3919,6081,3919,6081,3919,6081,0,0,0.3919,0.3919,1.0
0.5,0,1,0,0.3,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,3425,6575,3425,6575,3425,6575,0,0,3425,6575,3425,6575,3425,6575,0,0,0.3425,0.3425,1.0
0.5,0,1,0,0.4,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,2985,7015,2985,7015,2985,7015,0,0,2985,7015,2985,7015,2985,7015,0,0,0.2985,0.2985,1.0
0.5,0,1,0,0.5,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,2435,7565,2435,7565,2435,7565,0,0,2435,7565,2435,7565,2435,7565,0,0,0.2435,0.2435,1.0
0.5,0,1,0,0.6,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,1898,8102,1898,8102,1898,8102,0,0,1898,8102,1898,8102,1898,8102,0,0,0.1898,0.1898,1.0
0.5,0,1,0,0.7,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,1496,8504,1496,8504,1496,8504,0,0,1496,8504,1496,8504,1496,8504,0,0,0.1496,0.1496,1.0
0.5,0,1,0,0.8,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,1003,8997,1003,8997,1003,8997,0,0,1003,8997,1003,8997,1003,8997,0,0,0.1003,0.1003,1.0
0.5,0,1,0,0.9,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,497,9503,497,9503,497,9503,0,0,497,9503,497,9503,497,9503,0,0,0.0497,0.0497,1.0
