prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,1.0,0,0.0,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,4930,5070,0,0,0.493,0.493,1.0
0.5,0,1.0,0,0.1,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,4410,5590,4410,5590,4410,5590,0,0,4410,5590,4410,5590,4410,5590,0,0,0.441,0.441,1.0
0.5,0,1.0,0,0.2,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,3927,6073,3927,6073,3927,6073,0,0,3927,6073,3927,6073,3927,6073,0,0,0.3927,0.3927,1.0
0.5,0,1.0,0,0.3,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,3454,6546,3454,6546,3454,6546,0,0,3454,6546,3454,6546,3454,6546,0,0,0.3454,0.3454,1.0
0.5,0,1.0,0,0.4,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,2992,7008,2992,7008,2992,7008,0,0,2992,7008,2992,7008,2992,7008,0,0,0.2992,0.2992,1.0
0.5,0,1.0,0,0.5,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,2446,7554,2446,7554,2446,7554,0,0,2446,7554,2446,7554,2446,7554,0,0,0.2446,0.2446,1.0
0.5,0,1.0,0,0.6,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,1978,8022,1978,8022,1978,8022,0,0,1978,8022,1978,8022,1978,8022,0,0,0.1978,0.1978,1.0
0.5,0,1.0,0,0.7,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,1419,8581,1419,8581,1419,8581,0,0,1419,8581,1419,8581,1419,8581,0,0,0.1419,0.1419,1.0
0.5,0,1.0,0,0.8,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,1023,8977,1023,8977,1023,8977,0,0,1023,8977,1023,8977,1023,8977,0,0,0.1023,0.1023,1.0
0.5,0,1.0,0,0.9,0,10000,4930,5070,4930,5070,4930,5070,0,0,4930,5070,4930,5070,475,9525,475,9525,475,9525,0,0,475,9525,475,9525,475,9525,0,0,0.0475,0.0475,1.0
