prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4434,50,5020,496,4434,50,4434,50,496,9504,496,9504,0,34,4450,0,496,9504,496,9504,0,34,9470,496,0.947,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4477,48,5022,453,4477,48,4477,48,453,9547,453,9547,0,40,4485,0,453,9547,453,9547,0,40,9507,453,0.9507,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4449,54,5016,481,4449,54,4449,54,481,9519,481,9519,0,41,4462,0,481,9519,481,9519,0,41,9478,481,0.9478,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4456,40,5030,474,4456,40,4456,40,474,9526,474,9526,0,54,4442,0,474,9526,474,9526,0,54,9472,474,0.9472,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4415,57,5013,515,4415,57,4415,57,515,9485,515,9485,0,44,4428,0,515,9485,515,9485,0,44,9441,515,0.9441,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4422,42,5028,508,4422,42,4422,42,508,9492,508,9492,0,49,4415,0,508,9492,508,9492,0,49,9443,508,0.9443,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4435,51,5019,495,4435,51,4435,51,495,9505,495,9505,0,45,4441,0,495,9505,495,9505,0,45,9460,495,0.946,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4422,56,5014,508,4422,56,4422,56,508,9492,508,9492,0,41,4437,0,508,9492,508,9492,0,41,9451,508,0.9451,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4445,54,5016,485,4445,54,4445,54,485,9515,485,9515,0,46,4453,0,485,9515,485,9515,0,46,9469,485,0.9469,0.0,0.0
0.5,1.0,0.9,0.99,1.0,0.0,10000,4930,5070,4930,5070,4424,51,5019,506,4424,51,4424,51,506,9494,506,9494,0,49,4426,0,506,9494,506,9494,0,49,9445,506,0.9445,0.0,0.0
