prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.22111817227459787,0.9511067538899413,1,0,10000,3035,6965,2112,4912,658,345,6620,2377,658,345,428,234,2377,7623,1684,5340,0,43,960,0,2377,7623,1684,5340,0,43,7580,2377,0.758,0.0,0.0
0.5,0,0.008905704651845826,0.9999206884246541,1,0,10000,3035,6965,2112,4912,30,0,6965,3005,30,0,21,0,3005,6995,2091,4933,0,0,30,0,3005,6995,2091,4933,0,0,6995,3005,0.6995,err,0.0
0.5,0,0.021230317373514263,0.9995492736242199,1,0,10000,3035,6965,2112,4912,59,3,6962,2976,59,3,36,2,2976,7024,2076,4948,0,0,62,0,2976,7024,2076,4948,0,0,7024,2976,0.7024,err,0.0
0.5,0,0.01215377038498926,0.999852285865429,1,0,10000,3035,6965,2112,4912,37,1,6964,2998,37,1,29,1,2998,7002,2083,4941,0,0,38,0,2998,7002,2083,4941,0,0,7002,2998,0.7002,err,0.0
0.5,0,0.003761480427459201,0.9999858512649938,1,0,10000,3035,6965,2112,4912,13,0,6965,3022,13,0,9,0,3022,6978,2103,4921,0,0,13,0,3022,6978,2103,4921,0,0,6978,3022,0.6978,err,0.0
0.5,0,0.02719398757750622,0.9992604870396344,1,0,10000,3035,6965,2112,4912,81,7,6958,2954,81,7,63,4,2954,7046,2049,4975,0,0,88,0,2954,7046,2049,4975,0,0,7046,2954,0.7046,err,0.0
0.5,0,0.01575719980414267,0.9997517106543323,1,0,10000,3035,6965,2112,4912,46,0,6965,2989,46,0,33,0,2989,7011,2079,4945,0,0,46,0,2989,7011,2079,4945,0,0,7011,2989,0.7011,err,0.0
0.5,0,0.006586094499822722,0.9999566233592394,1,0,10000,3035,6965,2112,4912,23,0,6965,3012,23,0,11,0,3012,6988,2101,4923,0,0,23,0,3012,6988,2101,4923,0,0,6988,3012,0.6988,err,0.0
0.5,0,0.0297510153914445,0.999114877083178,1,0,10000,3035,6965,2112,4912,105,5,6960,2930,105,5,76,4,2930,7070,2036,4988,0,0,110,0,2930,7070,2036,4988,0,0,7070,2930,0.707,err,0.0
0.5,0,0.09010208163714467,0.9918816148846533,1,0,10000,3035,6965,2112,4912,251,44,6921,2784,251,44,176,28,2784,7216,1936,5088,0,2,293,0,2784,7216,1936,5088,0,2,7214,2784,0.7214,0.0,0.0
0.5,0,0.023181569651095725,0.9994626148285114,1,0,10000,3035,6965,2112,4912,76,2,6963,2959,76,2,54,2,2959,7041,2058,4966,0,0,78,0,2959,7041,2058,4966,0,0,7041,2959,0.7041,err,0.0
0.5,0,0.04267869804566752,0.9981785287331267,1,0,10000,3035,6965,2112,4912,137,10,6955,2898,137,10,90,7,2898,7102,2022,5002,0,1,146,0,2898,7102,2022,5002,0,1,7101,2898,0.7101,0.0,0.0
0.5,0,0.003242018471741704,0.9999894893162289,1,0,10000,3035,6965,2112,4912,7,0,6965,3028,7,0,5,0,3028,6972,2107,4917,0,0,7,0,3028,6972,2107,4917,0,0,6972,3028,0.6972,err,0.0
0.5,0,0.0056491891211538905,0.9999680866622734,1,0,10000,3035,6965,2112,4912,11,1,6964,3024,11,1,9,0,3024,6976,2103,4921,0,0,12,0,3024,6976,2103,4921,0,0,6976,3024,0.6976,err,0.0
0.5,0,0.008970633792876213,0.9999195277293541,1,0,10000,3035,6965,2112,4912,28,1,6964,3007,28,1,19,1,3007,6993,2093,4931,0,0,29,0,3007,6993,2093,4931,0,0,6993,3007,0.6993,err,0.0
0.5,0,0.0044945594159525775,0.9999797989356565,1,0,10000,3035,6965,2112,4912,12,0,6965,3023,12,0,8,0,3023,6977,2104,4920,0,0,12,0,3023,6977,2104,4920,0,0,6977,3023,0.6977,err,0.0
0.5,0,0.005728150511471009,0.9999671882917179,1,0,10000,3035,6965,2112,4912,15,2,6963,3020,15,2,7,0,3020,6980,2105,4919,0,0,17,0,3020,6980,2105,4919,0,0,6980,3020,0.698,err,0.0
0.5,0,0.0367485850530449,0.9986495414965991,1,0,10000,3035,6965,2112,4912,114,8,6957,2921,114,8,73,5,2921,7079,2039,4985,0,0,122,0,2921,7079,2039,4985,0,0,7079,2921,0.7079,err,0.0
0.5,0,0.004078248961369173,0.9999833678854091,1,0,10000,3035,6965,2112,4912,16,0,6965,3019,16,0,12,0,3019,6981,2100,4924,0,0,16,0,3019,6981,2100,4924,0,0,6981,3019,0.6981,err,0.0
0.5,0,0.011261568251041132,0.9998731770805271,1,0,10000,3035,6965,2112,4912,33,1,6964,3002,33,1,25,0,3002,6998,2087,4937,0,0,34,0,3002,6998,2087,4937,0,0,6998,3002,0.6998,err,0.0
0.5,0,0.005661267945162693,0.9999679500452531,1,0,10000,3035,6965,2112,4912,19,0,6965,3016,19,0,10,0,3016,6984,2102,4922,0,0,19,0,3016,6984,2102,4922,0,0,6984,3016,0.6984,err,0.0
0.5,0,0.00400556177518427,0.9999839554748652,1,0,10000,3035,6965,2112,4912,15,0,6965,3020,15,0,8,0,3020,6980,2104,4920,0,0,15,0,3020,6980,2104,4920,0,0,6980,3020,0.698,err,0.0
0.5,0,0.020965693867000784,0.9995604396806752,1,0,10000,3035,6965,2112,4912,65,7,6958,2970,65,7,42,5,2970,7030,2070,4954,0,0,72,0,2970,7030,2070,4954,0,0,7030,2970,0.703,err,0.0
0.5,0,0.06287091518692058,0.996047248023559,1,0,10000,3035,6965,2112,4912,184,28,6937,2851,184,28,121,17,2851,7149,1991,5033,0,0,212,0,2851,7149,1991,5033,0,0,7149,2851,0.7149,err,0.0
0.5,0,0.029868535809732196,0.9991078705685827,1,0,10000,3035,6965,2112,4912,103,9,6956,2932,103,9,73,8,2932,7068,2039,4985,0,0,112,0,2932,7068,2039,4985,0,0,7068,2932,0.7068,err,0.0
0.5,0,0.01503946602405053,0.9997738144617114,1,0,10000,3035,6965,2112,4912,46,3,6962,2989,46,3,27,2,2989,7011,2085,4939,0,0,49,0,2989,7011,2085,4939,0,0,7011,2989,0.7011,err,0.0
0.5,0,0.0054732160199782495,0.9999700439063987,1,0,10000,3035,6965,2112,4912,19,0,6965,3016,19,0,14,0,3016,6984,2098,4926,0,0,19,0,3016,6984,2098,4926,0,0,6984,3016,0.6984,err,0.0
