prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.6330964743315137,0.599188854189007,1,0,10000,3035,6965,2112,4912,1916,2807,4158,1119,1916,2807,1331,1950,1119,8881,781,6243,0,1992,2731,0,1119,8881,781,6243,0,1992,6889,1119,0.6889,0.0,0.0
0.5,0,0.7525446655719086,0.4336765263192644,1,0,10000,3035,6965,2112,4912,2270,4014,2951,765,2270,4014,1572,2833,765,9235,540,6484,0,3549,2735,0,765,9235,540,6484,0,3549,5686,765,0.5686,0.0,0.0
0.5,0,0.7454412499912674,0.44431734281145674,1,0,10000,3035,6965,2112,4912,2237,3858,3107,798,2237,3858,1567,2718,798,9202,545,6479,0,3374,2721,0,798,9202,545,6479,0,3374,5828,798,0.5828,0.0,0.0
0.5,0,0.4091637052899357,0.8325850622734107,1,0,10000,3035,6965,2112,4912,1248,1176,5789,1787,1248,1176,848,834,1787,8213,1264,5760,0,430,1994,0,1787,8213,1264,5760,0,430,7783,1787,0.7783,0.0,0.0
0.5,0,0.1412126957288004,0.9800589745650052,1,0,10000,3035,6965,2112,4912,401,143,6822,2634,401,143,268,103,2634,7366,1844,5180,0,10,534,0,2634,7366,1844,5180,0,10,7356,2634,0.7356,0.0,0.0
0.5,0,0.23575693513157472,0.9444186675373665,1,0,10000,3035,6965,2112,4912,694,367,6598,2341,694,367,488,241,2341,7659,1624,5400,0,67,994,0,2341,7659,1624,5400,0,67,7592,2341,0.7592,0.0,0.0
0.5,0,0.4332127589126104,0.8123267055153245,1,0,10000,3035,6965,2112,4912,1357,1321,5644,1678,1357,1321,967,919,1678,8322,1145,5879,0,521,2157,0,1678,8322,1145,5879,0,521,7801,1678,0.7801,0.0,0.0
0.5,0,0.0,1.0,1,0,10000,3035,6965,2112,4912,0,0,6965,3035,0,0,0,0,3035,6965,2112,4912,0,0,0,0,3035,6965,2112,4912,0,0,6965,3035,0.6965,err,0.0
0.5,0,1.0,0.0,1,0,10000,3035,6965,2112,4912,3035,6965,0,0,3035,6965,2112,4912,0,10000,0,7024,0,10000,0,0,0,10000,0,7024,0,10000,0,0,0.0,0.0,err
0.5,0,0.43146155298342576,0.8138409282971305,1,0,10000,3035,6965,2112,4912,1295,1265,5700,1740,1295,1265,904,893,1740,8260,1208,5816,0,480,2080,0,1740,8260,1208,5816,0,480,7780,1740,0.778,0.0,0.0
