prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.028351770957365165,0.9991961770835811,1,0,10000,2912,7088,2037,4996,77,6,7082,2835,77,6,50,4,2835,7165,1987,5046,0,1,82,0,2835,7165,1987,5046,0,1,7164,2835,0.7164,0.0,0.0
0.5,0,0.13057230982561616,0.9829508719068033,1,0,10000,2912,7088,2037,4996,367,100,6988,2545,367,100,258,68,2545,7455,1779,5254,0,12,455,0,2545,7455,1779,5254,0,12,7443,2545,0.7443,0.0,0.0
0.5,0,0.13059293155159027,0.9829454862287617,1,0,10000,2912,7088,2037,4996,392,133,6955,2520,392,133,286,94,2520,7480,1751,5282,0,5,520,0,2520,7480,1751,5282,0,5,7475,2520,0.7475,0.0,0.0
0.5,0,0.35394532373654514,0.8747227078050323,1,0,10000,2912,7088,2037,4996,1025,907,6181,1887,1025,907,714,647,1887,8113,1323,5710,0,222,1710,0,1887,8113,1323,5710,0,222,7891,1887,0.7891,0.0,0.0
0.5,0,0.012437855009475625,0.9998452997627633,1,0,10000,2912,7088,2037,4996,42,2,7086,2870,42,2,25,2,2870,7130,2012,5021,0,0,44,0,2870,7130,2012,5021,0,0,7130,2870,0.713,err,0.0
0.5,0,0.028178313118976808,0.9992059826697689,1,0,10000,2912,7088,2037,4996,91,4,7084,2821,91,4,70,3,2821,7179,1967,5066,0,0,95,0,2821,7179,1967,5066,0,0,7179,2821,0.7179,err,0.0
0.5,0,0.021398968148217082,0.9995420841621916,1,0,10000,2912,7088,2037,4996,66,3,7085,2846,66,3,44,2,2846,7154,1993,5040,0,0,69,0,2846,7154,1993,5040,0,0,7154,2846,0.7154,err,0.0
0.5,0,1.0,0.0,1,0,10000,2912,7088,2037,4996,2912,7088,0,0,2912,7088,2037,4996,0,10000,0,7033,0,10000,0,0,0,10000,0,7033,0,10000,0,0,0.0,0.0,err
0.5,0,0.0,1.0,1,0,10000,2912,7088,2037,4996,0,0,7088,2912,0,0,0,0,2912,7088,2037,4996,0,0,0,0,2912,7088,2037,4996,0,0,7088,2912,0.7088,err,0.0
0.5,0,0.014423419507484271,0.9997919649697111,1,0,10000,2912,7088,2037,4996,45,1,7087,2867,45,1,33,0,2867,7133,2004,5029,0,0,46,0,2867,7133,2004,5029,0,0,7133,2867,0.7133,err,0.0
