prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.6330964743315137,0.599188854189007,1,0,10000,2912,7088,2037,4996,1840,2743,4345,1072,1840,2743,1270,1903,1072,8928,767,6266,0,1835,2748,0,1072,8928,767,6266,0,1835,7093,1072,0.7093,0.0,0.0
0.5,0,0.7525446655719086,0.4336765263192644,1,0,10000,2912,7088,2037,4996,2162,4072,3016,750,2162,4072,1504,2889,750,9250,533,6500,0,3537,2697,0,750,9250,533,6500,0,3537,5713,750,0.5713,0.0,0.0
0.5,0,0.7454412499912674,0.44431734281145674,1,0,10000,2912,7088,2037,4996,2145,4018,3070,767,2145,4018,1505,2830,767,9233,532,6501,0,3418,2745,0,767,9233,532,6501,0,3418,5815,767,0.5815,0.0,0.0
0.5,0,0.4091637052899357,0.8325850622734107,1,0,10000,2912,7088,2037,4996,1177,1180,5908,1735,1177,1180,827,827,1735,8265,1210,5823,0,408,1949,0,1735,8265,1210,5823,0,408,7857,1735,0.7857,0.0,0.0
0.5,0,0.1412126957288004,0.9800589745650052,1,0,10000,2912,7088,2037,4996,392,144,6944,2520,392,144,282,107,2520,7480,1755,5278,0,12,524,0,2520,7480,1755,5278,0,12,7468,2520,0.7468,0.0,0.0
0.5,0,0.23575693513157472,0.9444186675373665,1,0,10000,2912,7088,2037,4996,674,404,6684,2238,674,404,476,296,2238,7762,1561,5472,0,59,1019,0,2238,7762,1561,5472,0,59,7703,2238,0.7703,0.0,0.0
0.5,0,0.4332127589126104,0.8123267055153245,1,0,10000,2912,7088,2037,4996,1283,1309,5779,1629,1283,1309,879,915,1629,8371,1158,5875,0,496,2096,0,1629,8371,1158,5875,0,496,7875,1629,0.7875,0.0,0.0
0.5,0,0.0,1.0,1,0,10000,2912,7088,2037,4996,0,0,7088,2912,0,0,0,0,2912,7088,2037,4996,0,0,0,0,2912,7088,2037,4996,0,0,7088,2912,0.7088,err,0.0
0.5,0,1.0,0.0,1,0,10000,2912,7088,2037,4996,2912,7088,0,0,2912,7088,2037,4996,0,10000,0,7033,0,10000,0,0,0,10000,0,7033,0,10000,0,0,0.0,0.0,err
0.5,0,0.43146155298342576,0.8138409282971305,1,0,10000,2912,7088,2037,4996,1272,1294,5794,1640,1272,1294,897,908,1640,8360,1140,5893,0,452,2114,0,1640,8360,1140,5893,0,452,7908,1640,0.7908,0.0,0.0
