prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.09433629251954696,0.9911006639136665,1,0,10000,3035,6965,2112,4912,279,70,6895,2756,279,70,202,45,2756,7244,1910,5114,0,4,345,0,2756,7244,1910,5114,0,4,7240,2756,0.724,0.0,0.0
0.5,0,0.21494753434806127,0.953797557477689,1,0,10000,3035,6965,2112,4912,654,322,6643,2381,654,322,441,233,2381,7619,1671,5353,0,43,933,0,2381,7619,1671,5353,0,43,7576,2381,0.7576,0.0,0.0
0.5,0,0.03286799725107739,0.9989196947567032,1,0,10000,3035,6965,2112,4912,106,9,6956,2929,106,9,78,4,2929,7071,2034,4990,0,0,115,0,2929,7071,2034,4990,0,0,7071,2929,0.7071,err,0.0
0.5,0,1.0,0.0,1,0,10000,3035,6965,2112,4912,3035,6965,0,0,3035,6965,2112,4912,0,10000,0,7024,0,10000,0,0,0,10000,0,7024,0,10000,0,0,0.0,0.0,err
0.5,0,0.13389093122468296,0.9820732185357872,1,0,10000,3035,6965,2112,4912,395,120,6845,2640,395,120,276,84,2640,7360,1836,5188,0,7,508,0,2640,7360,1836,5188,0,7,7353,2640,0.7353,0.0,0.0
0.5,0,0.5787034014284511,0.665102373175141,1,0,10000,3035,6965,2112,4912,1791,2390,4575,1244,1791,2390,1237,1673,1244,8756,875,6149,0,1369,2812,0,1244,8756,875,6149,0,1369,7387,1244,0.7387,0.0,0.0
0.5,0,0.0,1.0,1,0,10000,3035,6965,2112,4912,0,0,6965,3035,0,0,0,0,3035,6965,2112,4912,0,0,0,0,3035,6965,2112,4912,0,0,6965,3035,0.6965,err,0.0
0.5,0,0.06192910348348446,0.9961647861417319,1,0,10000,3035,6965,2112,4912,197,18,6947,2838,197,18,135,16,2838,7162,1977,5047,0,0,215,0,2838,7162,1977,5047,0,0,7162,2838,0.7162,err,0.0
0.5,0,0.01801382010964932,0.9996755022850572,1,0,10000,3035,6965,2112,4912,56,2,6963,2979,56,2,37,2,2979,7021,2075,4949,0,0,58,0,2979,7021,2075,4949,0,0,7021,2979,0.7021,err,0.0
0.5,0,0.01721785765052779,0.9997035453779262,1,0,10000,3035,6965,2112,4912,57,4,6961,2978,57,4,38,2,2978,7022,2074,4950,0,0,61,0,2978,7022,2074,4950,0,0,7022,2978,0.7022,err,0.0
