first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,real_fix_rate_adj,Accuracy,Precision,Sensitivity
0.1,0.0537,0.5369999999999999,1.3193069306930694,0.19960474308300397,0.4962756052141527,2.4862916459243687,0.4630000000000001,1,0.8092220339959468,0.709222033995947,0.5,0.0,20000,1937,18063,1937,18063,1620,5291,12685,404,1579,5332,1579,5332,1128,18872,1128,18872,6911,3521,3390,0,0,13089,541,1822,4419,129,6911,770,6141,0,0,0,0,541,1822,17104,533,0.23618481985724216,0.9709789384196745,558.1047293226632,1804.8952706773368,17125.1555369078,511.8444630922003,0.4650254037925685,0.88225,0.22894625476089717,0.5037243947858473
0.1,0.0521,0.521,1.3526170798898072,0.1874032008260196,0.4712092130518234,2.5144138999487105,0.479,1,0.8092220339959468,0.709222033995947,0.7,0.0,20000,1937,18063,1937,18063,1574,5347,12716,363,1582,5339,1582,5339,815,19185,815,19185,6921,4862,2059,0,0,13079,551,1719,4523,128,6921,460,6461,0,0,0,0,551,1719,17239,491,0.23618481985724216,0.9709789384196745,536.1395410759397,1733.8604589240604,17215.45657818083,514.5434218191706,0.4746585185524448,0.8895,0.24273127753303964,0.5287907869481766
0.1,0.04985,0.49849999999999994,1.318407960199005,0.19881305637982197,0.5315947843530592,2.6738424227907602,0.5015000000000001,1,0.8092220339959468,0.709222033995947,0.9,0.0,20000,1937,18063,1937,18063,1620,5163,12815,402,1536,5247,1536,5247,548,19452,548,19452,6783,6102,681,0,0,13217,467,1623,4565,128,6783,147,6636,0,0,0,0,467,1623,17380,530,0.23618481985724216,0.9709789384196745,493.6262735016361,1596.3737264983638,17390.23278709637,519.7672129036291,0.4933032567973674,0.89235,0.22344497607655503,0.4684052156469408
0.1,0.0484,0.484,1.366120218579235,0.183,0.5165289256198347,2.8225624350810636,0.516,1,0.8092220339959468,0.709222033995947,1,0.0,20000,1937,18063,1937,18063,1634,5186,12814,366,1614,5206,1614,5206,323,19677,323,19677,6820,6820,0,0,0,13180,468,1548,4670,134,6820,0,6820,0,0,0,0,468,1548,17484,500,0.23618481985724216,0.9709789384196745,476.1485968322002,1539.8514031677998,17462.08522853943,521.9147714605732,0.5009683158536133,0.8976,0.23214285714285715,0.4834710743801653
0.1,0.0335,0.335,err,0.0,0.0,err,0.665,1,1.0,0.9,0.5,0.0,20000,1937,18063,1937,18063,1973,1742,16285,0,1937,1778,1937,1778,964,19036,964,19036,3715,1818,1897,0,0,16285,670,570,2475,0,3715,964,2751,0,0,0,0,670,570,18760,0,0.5263157894736842,1.0,652.6315789473684,587.3684210526316,18760.0,0.0,0.6736842105263159,0.9715,0.5403225806451613,1.0
0.1,0.02465,0.24649999999999997,err,0.0,0.0,err,0.7535000000000001,1,1.0,0.9,0.7,0.0,20000,1937,18063,1937,18063,1946,1802,16252,0,1937,1811,1937,1811,569,19431,569,19431,3748,2618,1130,0,0,16252,493,410,2845,0,3748,569,3179,0,0,0,0,493,410,19097,0,0.5263157894736842,1.0,475.2631578947368,427.7368421052632,19097.0,0.0,0.7623684210526316,0.9795,0.5459579180509413,1.0
0.1,0.01475,0.1475,err,0.0,0.0,err,0.8525,1,1.0,0.9,0.9,0.0,20000,1937,18063,1937,18063,1967,1804,16229,0,1937,1834,1937,1834,207,19793,207,19793,3771,3385,386,0,0,16229,295,265,3211,0,3771,207,3564,0,0,0,0,295,265,19440,0,0.5263157894736842,1.0,294.7368421052631,265.2631578947369,19440.0,0.0,0.8526315789473684,0.98675,0.5267857142857143,1.0
0.1,0.0097,0.097,err,0.0,0.0,err,0.903,1,1.0,0.9,1,0.0,20000,1937,18063,1937,18063,1952,1728,16320,0,1937,1743,1937,1743,0,20000,0,20000,3680,3680,0,0,0,16320,194,188,3298,0,3680,0,3680,0,0,0,0,194,188,19618,0,0.5263157894736842,1.0,201.05263157894737,180.94736842105263,19618.0,0.0,0.8994736842105263,0.9906,0.5078534031413613,1.0
0.1,0.03445,0.3445,1.1754385964912282,0.05849153412006157,0.19448476052249636,3.325007002266188,0.6555,1,0.9446244592584718,0.8446244592584717,0.5,0.0,20000,1937,18063,1937,18063,1835,2817,15234,114,1825,2827,1825,2827,1028,18972,1028,18972,4652,2357,2295,0,0,15348,555,885,3192,20,4652,916,3736,0,0,0,0,555,885,18426,134,0.4031680389162867,0.9927679806677872,580.5619760394529,859.4380239605471,18425.77372119413,134.22627880587044,0.6426058725773384,0.94905,0.3854166666666667,0.8055152394775036
0.1,0.02985,0.2985,1.2142857142857142,0.05376860297647624,0.22780569514237856,4.236779133764058,0.7015,1,0.9446244592584718,0.8446244592584717,0.7,0.0,20000,1937,18063,1937,18063,1971,2737,15180,112,1834,2874,1834,2874,686,19314,686,19314,4708,3291,1417,0,0,15292,461,721,3502,24,4708,583,4125,0,0,0,0,461,721,18682,136,0.4031680389162867,0.9927679806677872,476.5446219990509,705.455378000949,18681.90786020642,136.09213979358134,0.6936816191036839,0.95715,0.3900169204737733,0.7721943048576214
