first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,final_prev_rate_adj,prev_rate_div_adj,real_fix_rate_adj,Accuracy,Precision,Sensitivity,Specificity
0.1,0.06075,0.6074999999999999,1.3658088235294117,0.2808466701084151,0.6115226337448559,2.177425260227548,0.39250000000000007,1,0.7,0.6,0.5,0.0,20000,1937,18063,1937,18063,1393,7242,10821,544,1393,7242,1393,7242,1215,18785,1215,18785,8635,4402,4233,0,0,11365,472,3171,4793,199,8635,671,7964,1215,18785,1215,18785,472,3171,15614,743,0.16618124463362421,0.9504895795567629,605.398274200293,3037.6017257997073,15547.158052809971,809.8419471900286,0.07076201106951607,0.7076201106951607,0.29237988930483927,0.8043,0.12956354652758714,0.719153329891585,0.5990699219398771
0.1,0.04745,0.4745,1.2611940298507462,0.27671657201858546,0.7123287671232876,2.574217951339194,0.5255000000000001,1,0.7,0.6,0.7,0.0,20000,1937,18063,1937,18063,1401,7238,10825,536,1401,7238,1401,7238,949,19051,949,19051,8639,5938,2701,0,0,11361,273,3402,4824,140,8639,413,8226,949,19051,949,19051,273,3402,15649,676,0.16705312731314206,0.9511992885792665,613.920242875797,3061.079757124203,15528.328386056526,796.6716139434744,0.07052959284096358,0.7052959284096357,0.29470407159036427,0.7961,0.07428571428571429,0.7232834279814145,0.5992913690970492
0.1,0.03585,0.3585,1.073943661971831,0.293236964377904,0.8507670850767085,2.9012954996365923,0.6415,1,0.7,0.6,0.9,0.0,20000,1937,18063,1937,18063,1369,7228,10835,568,1369,7228,1369,7228,717,19283,717,19283,8597,7670,927,0,0,11403,107,3477,4971,42,8597,149,8448,717,19283,717,19283,107,3477,15806,610,0.16405224937648594,0.9484811819714145,587.9632617653256,2996.036738234674,15570.267083242741,845.7329167572594,0.07168480892612925,0.7168480892612924,0.2831519107387076,0.79565,0.029854910714285716,0.706763035622096,0.5998449869899796
0.1,0.03,0.3,1.0,0.3097573567372225,1.0,3.2283333333333335,0.7,1,0.7,0.6,1,0.0,20000,1937,18063,1937,18063,1337,7180,10883,600,1337,7180,1337,7180,600,19400,600,19400,8517,8517,0,0,0,11483,0,3382,5135,0,8517,0,8517,600,19400,600,19400,0,3382,16018,600,0.1617356354061194,0.9459626124281235,546.9899189434958,2835.010081056504,15720.006693330557,897.9933066694434,0.07224916128064697,0.7224916128064697,0.2775083871935303,0.8009,0.0,0.6902426432627775,0.6025023528760449
0.1,0.0609,0.609,1.3470225872689938,0.2514197212183789,0.5385878489326765,2.1421861671100504,0.391,1,0.7588846083149084,0.6588846083149085,0.5,0.0,20000,1937,18063,1937,18063,1450,6123,11940,487,1450,6123,1450,6123,1218,18782,1218,18782,7573,3780,3793,0,0,12427,562,2371,4471,169,7573,731,6842,1218,18782,1218,18782,562,2371,16411,656,0.1970257950342716,0.9594523403239029,577.8766568355186,2355.1233431644814,16374.973092308051,692.0269076919488,0.06349517822637338,0.6349517822637337,0.3650482177362663,0.84865,0.1916126832594613,0.748580278781621,0.6610197641587776
0.1,0.04635,0.4635,1.2757894736842106,0.2452245740836345,0.6537216828478964,2.6658082098450007,0.5365,1,0.7588846083149084,0.6588846083149085,0.7,0.0,20000,1937,18063,1937,18063,1462,6154,11909,475,1462,6154,1462,6154,927,19073,927,19073,7616,5292,2324,0,0,12384,321,2434,4730,131,7616,452,7164,927,19073,927,19073,321,2434,16639,606,0.19753123154603588,0.9603129470816814,544.1985429093288,2210.801457090671,16560.596772423596,684.403227576405,0.06143008852428669,0.6143008852428669,0.38569911475713314,0.848,0.11651542649727768,0.7547754259163655,0.6593035486906936
0.1,0.0325,0.325,1.0631364562118126,0.25348477026329375,0.803076923076923,3.1681466395112015,0.675,1,0.7588846083149084,0.6588846083149085,0.9,0.0,20000,1937,18063,1937,18063,1446,6173,11890,491,1446,6173,1446,6173,650,19350,650,19350,7619,6854,765,0,0,12381,128,2554,4906,31,7619,159,7460,650,19350,650,19350,128,2554,16796,522,0.19530778964687456,0.9589681070413356,523.8154918329176,2158.1845081670826,16607.40967774185,710.5903222581499,0.06172029070455337,0.6172029070455337,0.3827970929544663,0.8462,0.047725577926920205,0.7465152297367063,0.6582516746941262
0.1,0.023,0.22999999999999998,1.0,0.23748064016520393,1.0,4.210869565217391,0.77,1,0.7588846083149084,0.6588846083149085,1,0.0,20000,1937,18063,1937,18063,1477,6154,11909,460,1477,6154,1477,6154,460,19540,460,19540,7631,7631,0,0,0,12369,0,2606,5025,0,7631,0,7631,460,19540,460,19540,0,2606,16934,460,0.199154268928426,0.9615179938871123,518.9960248274781,2087.0039751725217,16724.643985672432,669.3560143275679,0.0594176019577523,0.594176019577523,0.405823980422477,0.8467,0.0,0.7625193598347961,0.6593035486906936
0.1,0.06115,0.6115,1.4097472924187726,0.28600929272070214,0.6385936222403925,2.2327722857033216,0.38849999999999996,1,0.7,0.6,0.5,0.0,20000,1937,18063,1937,18063,1383,7299,10764,554,1383,7299,1383,7299,1223,18777,1223,18777,8682,4353,4329,0,0,11318,442,3227,4786,227,8682,669,8013,1223,18777,1223,18777,442,3227,15550,781,0.16410704745769208,0.9493720581232475,602.1087571222722,3066.8912428777276,15504.195081210755,826.8049187892444,0.07144568379557584,0.7144568379557583,0.2855431620442417,0.7996,0.12046879258653584,0.7139907072792979,0.5959142999501744
0.1,0.04995,0.4995,1.1986531986531987,0.30665978316985026,0.7127127127127127,2.3241153611523986,0.5005,1,0.7,0.6,0.7,0.0,20000,1937,18063,1937,18063,1343,7138,10925,594,1343,7138,1343,7138,999,19001,999,19001,8481,5899,2582,0,0,11519,287,3260,4816,118,8481,405,8076,999,19001,999,19001,287,3260,15741,712,0.16314300937548404,0.9466688628548338,578.6682542548418,2968.3317457451585,15575.54280055058,877.4571994494202,0.0728062726852131,0.7280627268521309,0.2719372731478691,0.8014,0.08091344798421202,0.6933402168301497,0.6048275480263522
