prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.0010138272683119307,0.99999897215427,1,0,10000,2912,7088,2037,4996,1,0,7088,2911,1,0,1,0,2911,7089,2036,4997,0,0,1,0,2911,7089,2036,4997,0,0,7089,2911,0.7089,err,0.0
0.5,0,0.04303761044521807,0.9981477640871657,1,0,10000,2912,7088,2037,4996,141,12,7076,2771,141,12,106,10,2771,7229,1931,5102,0,1,152,0,2771,7229,1931,5102,0,1,7228,2771,0.7228,0.0,0.0
0.5,0,0.0006092642221763018,0.9999996287971076,1,0,10000,2912,7088,2037,4996,1,0,7088,2911,1,0,0,0,2911,7089,2037,4996,0,0,1,0,2911,7089,2037,4996,0,0,7089,2911,0.7089,err,0.0
0.5,0,0.0013290093445158186,0.9999982337341622,1,0,10000,2912,7088,2037,4996,7,0,7088,2905,7,0,4,0,2905,7095,2033,5000,0,0,7,0,2905,7095,2033,5000,0,0,7095,2905,0.7095,err,0.0
0.5,0,0.002413394081592455,0.9999941755290069,1,0,10000,2912,7088,2037,4996,8,0,7088,2904,8,0,8,0,2904,7096,2029,5004,0,0,8,0,2904,7096,2029,5004,0,0,7096,2904,0.7096,err,0.0
0.5,0,0.004481245339182151,0.9999799184402101,1,0,10000,2912,7088,2037,4996,13,0,7088,2899,13,0,8,0,2899,7101,2029,5004,0,0,13,0,2899,7101,2029,5004,0,0,7101,2899,0.7101,err,0.0
0.5,0,0.005030769525021809,0.9999746913579861,1,0,10000,2912,7088,2037,4996,17,0,7088,2895,17,0,11,0,2895,7105,2026,5007,0,0,17,0,2895,7105,2026,5007,0,0,7105,2895,0.7105,err,0.0
0.5,0,0.002825898766209754,0.9999920142961631,1,0,10000,2912,7088,2037,4996,6,0,7088,2906,6,0,4,0,2906,7094,2033,5000,0,0,6,0,2906,7094,2033,5000,0,0,7094,2906,0.7094,err,0.0
0.5,0,0.001962636407932285,0.9999961480583303,1,0,10000,2912,7088,2037,4996,3,0,7088,2909,3,0,2,0,2909,7091,2035,4998,0,0,3,0,2909,7091,2035,4998,0,0,7091,2909,0.7091,err,0.0
0.5,0,0.0005515542765125215,0.9999996957878801,1,0,10000,2912,7088,2037,4996,3,0,7088,2909,3,0,1,0,2909,7091,2036,4997,0,0,3,0,2909,7091,2036,4997,0,0,7091,2909,0.7091,err,0.0
